Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"1 Month WIBOR",Future,"Interest Rates","Warsaw Stock Exchange",WSE,Poland,Europe,2017,7,2017-7,2,0
"1% Fuel Oil Cargoes CIF MED (Platts) (1W)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,20
"1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rotterdam (Platts) (FS)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,295,1123
"1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rotterdam (Platts) Balance of the Month (88)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,5,5
"1% Fuel Oil Rotterdam (Platts) vs. 1% Fuel Oil NWE (Platts) (33)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,72
"10 Baht Gold",Future,Metals,"Thailand Futures Exchange",TFEX,Thailand,Asia,2017,7,2017-7,242025,49141
"10 Year Canadian Government Bond (CGB)",Future,"Interest Rates","Montreal Exchange",MX,Canada,"North America",2017,7,2017-7,1400790,500764
"10 Year Canadian Government Bond (OGB)",Option,"Interest Rates","Montreal Exchange",MX,Canada,"North America",2017,7,2017-7,0,2199
"10 Year Colombian Government Bond",Future,"Interest Rates","Bolsa de Valores de Colombia",BVC,Colombia,"Latin America",2017,7,2017-7,12293,2790
"10 Year Japan Government Bond",Future,"Interest Rates","Japan Exchange",JPX,Japan,Asia,2017,7,2017-7,543733,97479
"10 Year Japan Government Bond",Option,"Interest Rates","Japan Exchange",JPX,Japan,Asia,2017,7,2017-7,63954,11051
"10 year Russian Federation Government Bond",Future,"Interest Rates","Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,72957,27398
"10 Year Standards",Future,"Interest Rates","Eris Exchange",ERIS,"United States","North America",2017,7,2017-7,6341,63464
"10 Year Swedish Government Bond (SGB10)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",OMX,Sweden,Europe,2017,7,2017-7,14278,48210
"10 Year Treasury Bond",Future,"Interest Rates","ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,3053517,983021
"10 Year Treasury Bond ",Future,"Interest Rates","China Financial Futures Exchange",CFFEX,China,Asia,2017,7,2017-7,893450,64133
"10 Year Treasury Bond",Future,"Interest Rates","Korea Exchange",KRX,"South Korea",Asia,2017,7,2017-7,989528,100059
"10 Year Treasury Bond",Option,"Interest Rates","ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,4500,7688
"10 Year Treasury Bond Overnight",Option,"Interest Rates","ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,750,0
"10 Year Treasury Note",Future,"Interest Rates","Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,24476447,3202411
"10 Year Treasury Note",Option,"Interest Rates","Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,10349341,2746803
"10 Year USD Deliverable Interest Rate Swap",Future,"Interest Rates","Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,24470,31201
"100 oz Gold",Future,Metals,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,32,0
"15 Year Russian Federation Government Bond",Future,"Interest Rates","Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,56625,42712
"2 Year Colombian Government Bond",Future,"Interest Rates","Bolsa de Valores de Colombia",BVC,Colombia,"Latin America",2017,7,2017-7,2208,827
"2 Year Russian Federation Government Bond",Future,"Interest Rates","Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,18986,46338
"2 Year Spintab Bond (SWH2Y)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",OMX,Sweden,Europe,2017,7,2017-7,550,3094
"2 Year Stadshypotek Bond (STH2Y)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",OMX,Sweden,Europe,2017,7,2017-7,5169,12111
"2 Year Standards",Future,"Interest Rates","Eris Exchange",ERIS,"United States","North America",2017,7,2017-7,744,12097
"2 Year Swedish Government Bond (SGB2Y)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",OMX,Sweden,Europe,2017,7,2017-7,20362,44654
"2 Year Treasury Note",Future,"Interest Rates","Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,4794311,1375416
"2 Year Treasury Note",Option,"Interest Rates","Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,64001,34791
"20 Year Treasury Bond",Future,"Interest Rates","ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,27669,25298
"3 Month Canadian Bankers Acceptance (BAX)",Future,"Interest Rates","Montreal Exchange",MX,Canada,"North America",2017,7,2017-7,2169958,921234
"3 Month Canadian Bankers' Acceptance (OBX)",Option,"Interest Rates","Montreal Exchange",MX,Canada,"North America",2017,7,2017-7,74675,165206
"3 Month Euribor",Future,"Interest Rates",CurveGlobal,CG,"United Kingdom",Europe,2017,7,2017-7,118395,56311
"3 Month Euribor",Future,"Interest Rates",Eurex,EUREX,Germany,Europe,2017,7,2017-7,6093,38770
"3 Month Euribor",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,14492599,3719173
"3 Month Euribor",Option,"Interest Rates",Eurex,EUREX,Germany,Europe,2017,7,2017-7,201,418
"3 Month Euribor",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,369647,3722104
"3 Month Euribor 1 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,294622,1292565
"3 Month Euribor 2 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,463493,1152441
"3 Month Euribor 3 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,400351,979587
"3 Month Euribor 4 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,0,3500
"3 Month Euroswiss",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,472921,220002
"3 Month Euroyen",Future,"Interest Rates","Tokyo Financial Exchange",TFX,Japan,Asia,2017,7,2017-7,149021,161691
"3 Month Hibor",Future,"Interest Rates","Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,7,2017-7,9,48
"3 Month Sterling",Future,"Interest Rates",CurveGlobal,CG,"United Kingdom",Europe,2017,7,2017-7,90523,59964
"3 Month Sterling",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,13682179,2900348
"3 Month Sterling",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,1468888,5073101
"3 Month Sterling 2 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,332354,1107304
"3 Month Sterling 3 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,0,49650
"3 Month Sterling Mid Curve",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,359936,1337331
"3 Month WIBOR",Future,"Interest Rates","Warsaw Stock Exchange",WSE,Poland,Europe,2017,7,2017-7,10,420
"3 Year Standards",Future,"Interest Rates","Eris Exchange",ERIS,"United States","North America",2017,7,2017-7,777,2982
"3 Year Treasury Bond",Future,"Interest Rates","ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,4650524,983025
"3 Year Treasury Bond",Future,"Interest Rates","Korea Exchange",KRX,"South Korea",Asia,2017,7,2017-7,1457276,203474
