Contract_Type,Year,Month,Report_Year_Month,Volume,Open_Interest
Future,2000,1,2000-1,121229449,33052615
Option,2000,1,2000-1,114564531,108035424
Future,2000,10,2000-10,117130155,34740837
Option,2000,10,2000-10,150411653,147548721
Future,2000,11,2000-11,115358851,36346223
Option,2000,11,2000-11,139963425,158149909
Future,2000,12,2000-12,114326992,32926614
Option,2000,12,2000-12,134495488,142776049
Future,2000,2,2000-2,130779059,34343331
Option,2000,2,2000-2,108892321,119550724
Future,2000,3,2000-3,135965887,32917654
Option,2000,3,2000-3,130380953,117871314
Future,2000,4,2000-4,114067964,33574966
Option,2000,4,2000-4,109245048,117080276
Future,2000,5,2000-5,135401122,36153887
Option,2000,5,2000-5,117309923,132441891
Future,2000,6,2000-6,130018055,32466678
Option,2000,6,2000-6,116401676,125805619
Future,2000,7,2000-7,97714401,34370447
Option,2000,7,2000-7,106868264,129351566
Future,2000,8,2000-8,112653576,35816523
Option,2000,8,2000-8,117106409,140719441
Future,2000,9,2000-9,123999967,33660571
Option,2000,9,2000-9,123280710,137414393
Future,2001,1,2001-1,146442249,34812549
Option,2001,1,2001-1,170871317,146554374
Future,2001,10,2001-10,156689444,37470184
Option,2001,10,2001-10,239567586,231012137
Future,2001,11,2001-11,186497185,39294238
Option,2001,11,2001-11,301706374,256505107
Future,2001,12,2001-12,136504836,34538498
Option,2001,12,2001-12,250827996,210411331
Future,2001,2,2001-2,133806639,36747362
Option,2001,2,2001-2,152832674,163323833
Future,2001,3,2001-3,166580699,34801510
Option,2001,3,2001-3,176181672,162755216
Future,2001,4,2001-4,141242850,34593177
Option,2001,4,2001-4,183538161,178204466
Future,2001,5,2001-5,147562005,35518760
Option,2001,5,2001-5,184440222,194011971
Future,2001,6,2001-6,149830549,33257443
Option,2001,6,2001-6,178760741,183815845
Future,2001,7,2001-7,129071460,34082155
Option,2001,7,2001-7,189248390,194338668
Future,2001,8,2001-8,146142504,36670682
Option,2001,8,2001-8,216088665,212683494
Future,2001,9,2001-9,166303433,34506364
Option,2001,9,2001-9,239643127,199867969
Future,2002,1,2002-1,178852247,46071624
Option,2002,1,2002-1,293572441,219429801
Future,2002,10,2002-10,236041426,47812580
Option,2002,10,2002-10,431880874,283815365
Future,2002,11,2002-11,192407047,48319795
Option,2002,11,2002-11,369427976,297402843
Future,2002,12,2002-12,176668999,47542474
Option,2002,12,2002-12,311203811,246546324
Future,2002,2,2002-2,159308221,42766957
Option,2002,2,2002-2,248174244,251029193
Future,2002,3,2002-3,183092477,41223922
Option,2002,3,2002-3,273484651,227656508
Future,2002,4,2002-4,171409634,42570255
Option,2002,4,2002-4,303854725,242156181
Future,2002,5,2002-5,186329579,44916824
Option,2002,5,2002-5,316640798,262427568
Future,2002,6,2002-6,196466173,41800068
Option,2002,6,2002-6,280378261,244194071
Future,2002,7,2002-7,220493455,46156290
Option,2002,7,2002-7,381340041,273259704
Future,2002,8,2002-8,205432680,47173230
Option,2002,8,2002-8,295942605,299660837
Future,2002,9,2002-9,219019402,44700863
Option,2002,9,2002-9,310367226,261865693
Future,2003,1,2003-1,217208048,55767434
Option,2003,1,2003-1,388790676,250941963
Future,2003,10,2003-10,272001889,74009296
Option,2003,10,2003-10,537029655,329588301
Future,2003,11,2003-11,225483398,74876341
Option,2003,11,2003-11,443954277,336134348
Future,2003,12,2003-12,240414297,77178850
Option,2003,12,2003-12,416184666,287088723
Future,2003,2,2003-2,217274707,59815904
Option,2003,2,2003-2,355924290,274679671
Future,2003,3,2003-3,275614084,57521023
Option,2003,3,2003-3,417801347,248609134
Future,2003,4,2003-4,225359529,57767241
Option,2003,4,2003-4,497083127,264177525
Future,2003,5,2003-5,242105211,62204470
Option,2003,5,2003-5,393065442,287744838
Future,2003,6,2003-6,295164448,58091708
Option,2003,6,2003-6,383820624,275514647
Future,2003,7,2003-7,260146200,66169911
Option,2003,7,2003-7,398430583,296842222
Future,2003,8,2003-8,223291056,68397169
Option,2003,8,2003-8,384121698,316398451
Future,2003,9,2003-9,276546185,68899372
Option,2003,9,2003-9,459305057,307552501
Future,2004,1,2004-1,260514395,84067311
Option,2004,1,2004-1,414578615,298583006
Future,2004,10,2004-10,277670132,87617234
Option,2004,10,2004-10,466708387,384191797
Future,2004,11,2004-11,298632664,90339127
Option,2004,11,2004-11,463025288,400734600
Future,2004,12,2004-12,279206101,84442945
Option,2004,12,2004-12,386602253,354180477
Future,2004,2,2004-2,249682771,89793213
Option,2004,2,2004-2,417007779,333548589
Future,2004,3,2004-3,343752637,86842152
Option,2004,3,2004-3,532158489,326201265
Future,2004,4,2004-4,286526597,101728770
Option,2004,4,2004-4,439040784,349535383
Future,2004,5,2004-5,297058622,94934206
Option,2004,5,2004-5,491004570,361639600
Future,2004,6,2004-6,324976046,90294625
Option,2004,6,2004-6,487207855,340790151
Future,2004,7,2004-7,269802096,92596091
Option,2004,7,2004-7,407979669,361014574
Future,2004,8,2004-8,275001220,89359480
Option,2004,8,2004-8,391860398,372833663
Future,2004,9,2004-9,328301078,86503771
Option,2004,9,2004-9,398643356,356331076
Future,2005,1,2005-1,284642017,92010439
Option,2005,1,2005-1,436516665,344631027
Future,2005,10,2005-10,342407630,105440880
Option,2005,10,2005-10,592549170,535145758
Future,2005,11,2005-11,396196829,134620900
Option,2005,11,2005-11,545715301,486406784
Future,2005,12,2005-12,329430488,130787627
Option,2005,12,2005-12,437614392,425245804
Future,2005,2,2005-2,290076884,98236559
Option,2005,2,2005-2,393347349,385957457
Future,2005,3,2005-3,382121599,93507819
Option,2005,3,2005-3,515668878,375794594
Future,2005,4,2005-4,336605994,94007408
Option,2005,4,2005-4,460902319,404856791
Future,2005,5,2005-5,312754639,94173765
Option,2005,5,2005-5,443494821,418130529
Future,2005,6,2005-6,379913446,88729205
Option,2005,6,2005-6,446706606,405772647
Future,2005,7,2005-7,280080743,90249157
Option,2005,7,2005-7,480153885,447733213
Future,2005,8,2005-8,323710023,93660718
Option,2005,8,2005-8,595494937,465403190
Future,2005,9,2005-9,378069754,92413994
Option,2005,9,2005-9,563349748,449349313
Future,2006,1,2006-1,364711128,142991011
Option,2006,1,2006-1,598796306,413763473
Future,2006,10,2006-10,419193895,194263808
Option,2006,10,2006-10,535934671,532669847
Future,2006,11,2006-11,467291206,201129141
Option,2006,11,2006-11,525675300,558376823
Future,2006,12,2006-12,419631843,188966387
Option,2006,12,2006-12,499168259,485563995
Future,2006,2,2006-2,373664160,149271738
Option,2006,2,2006-2,566767777,445480354
Future,2006,3,2006-3,500667763,147907226
Option,2006,3,2006-3,552298844,445760805
Future,2006,4,2006-4,401905949,165761276
Option,2006,4,2006-4,510421067,469983176
Future,2006,5,2006-5,506858790,174778529
Option,2006,5,2006-5,637705586,510182341
Future,2006,6,2006-6,527124071,177613458
Option,2006,6,2006-6,566776400,493421289
Future,2006,7,2006-7,389996448,184057407
Option,2006,7,2006-7,532158782,500186483
Future,2006,8,2006-8,452649925,183256335
Option,2006,8,2006-8,543117541,530932990
Future,2006,9,2006-9,465562893,186847034
Option,2006,9,2006-9,509903098,505756845
Future,2007,1,2007-1,465495683,204754965
Option,2007,1,2007-1,641877170,434966453
Future,2007,10,2007-10,621580518,212000647
Option,2007,10,2007-10,740367821,595784086
Future,2007,11,2007-11,670799304,220681288
Option,2007,11,2007-11,755850273,628119325
Future,2007,12,2007-12,565376032,213007153
Option,2007,12,2007-12,571595864,523559374
Future,2007,2,2007-2,484202551,212431793
Option,2007,2,2007-2,573276620,485879418
Future,2007,3,2007-3,657697336,214369690
Option,2007,3,2007-3,715163525,479220360
Future,2007,4,2007-4,457592336,230315072
Option,2007,4,2007-4,620461950,498407289
Future,2007,5,2007-5,559050571,239634385
Option,2007,5,2007-5,689985612,539541251
Future,2007,6,2007-6,723781381,218332876
Option,2007,6,2007-6,758991281,526073593
Future,2007,7,2007-7,599405348,229667736
Option,2007,7,2007-7,787311353,567831730
Future,2007,8,2007-8,761549356,240998197
Option,2007,8,2007-8,848549815,601771045
Future,2007,9,2007-9,651065937,212098202
Option,2007,9,2007-9,603411177,555335664
Future,2008,1,2008-1,721726865,228379473
Option,2008,1,2008-1,848427093,521231345
Future,2008,10,2008-10,754250013,205597871
Option,2008,10,2008-10,943744959,634508120
Future,2008,11,2008-11,551146030,197425526
Option,2008,11,2008-11,710491335,609230528
Future,2008,12,2008-12,628321612,164337951
Option,2008,12,2008-12,658346357,485555489
Future,2008,2,2008-2,653767254,227672197
Option,2008,2,2008-2,622221340,558103068
Future,2008,3,2008-3,778304068,219123199
Option,2008,3,2008-3,708972393,522847496
Future,2008,4,2008-4,653418738,232854738
Option,2008,4,2008-4,726142696,563738448
Future,2008,5,2008-5,656291524,233568411
Option,2008,5,2008-5,693619737,599016934
Future,2008,6,2008-6,757922161,214877931
Option,2008,6,2008-6,778273410,558287260
Future,2008,7,2008-7,681435234,229746940
Option,2008,7,2008-7,943340264,611873740
Future,2008,8,2008-8,570886337,220268314
Option,2008,8,2008-8,725922090,627168481
Future,2008,9,2008-9,912382044,207822151
Option,2008,9,2008-9,996810525,602206286
Future,2009,1,2009-1,530206392,171274776
Option,2009,1,2009-1,665031369,451883887
Future,2009,10,2009-10,730679148,167246565
Option,2009,10,2009-10,880292135,627578801
Future,2009,11,2009-11,731690080,168291859
Option,2009,11,2009-11,819191358,639042835
Future,2009,12,2009-12,768858449,158555500
Option,2009,12,2009-12,794310677,525037803
Future,2009,2,2009-2,565345159,168614577
Option,2009,2,2009-2,694717901,501312371
Future,2009,3,2009-3,711083386,158673245
Option,2009,3,2009-3,867225857,497191142
Future,2009,4,2009-4,647281861,182915025
Option,2009,4,2009-4,817501240,541310011
Future,2009,5,2009-5,659421152,176028597
Option,2009,5,2009-5,779409023,571959535
Future,2009,6,2009-6,754925628,162119035
Option,2009,6,2009-6,835491009,529499487
Future,2009,7,2009-7,671075282,167559024
Option,2009,7,2009-7,771175376,562077819
Future,2009,8,2009-8,682859507,162257976
Option,2009,8,2009-8,764817658,584871053
Future,2009,9,2009-9,734615540,154260372
Option,2009,9,2009-9,862102049,579798506
Future,2010,1,2010-1,776428517,171179172
Option,2010,1,2010-1,866055798,523257905
Future,2010,10,2010-10,953521661,162447216
Option,2010,10,2010-10,1021452451,640436441
Future,2010,11,2010-11,1079773806,163916867
Option,2010,11,2010-11,1112277500,672743929
Future,2010,12,2010-12,848207224,155841168
Option,2010,12,2010-12,852866363,562686375
Future,2010,2,2010-2,772042733,169019459
Option,2010,2,2010-2,793472105,557316936
Future,2010,3,2010-3,935360442,168750428
Option,2010,3,2010-3,934984842,556301354
Future,2010,4,2010-4,979462102,206404728
Option,2010,4,2010-4,938739344,614726400
Future,2010,5,2010-5,1214671017,188586154
Option,2010,5,2010-5,1134151443,647183161
Future,2010,6,2010-6,1016817426,168132402
Option,2010,6,2010-6,893229770,585101101
Future,2010,7,2010-7,843997040,175481276
Option,2010,7,2010-7,820940321,594993111
Future,2010,8,2010-8,872233156,175733367
Option,2010,8,2010-8,902360242,627880952
Future,2010,9,2010-9,1005658672,166250748
Option,2010,9,2010-9,850295654,601332223
Future,2011,1,2011-1,831867956,163364932
Option,2011,1,2011-1,1029391741,532544065
