Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Date,Volume,Open_Interest
1% Fuel Oil Cargoes CIF MED (Platts) (1W),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,0,16
1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rotterdam (Platts) (FS),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,170,1077
1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rotterdam (Platts) Balance of the Month (88),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,30,30
1% Fuel Oil Rotterdam (Platts) vs. 1% Fuel Oil NWE (Platts) (33),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,0,60
10 Baht Gold,Future,Metals,Thailand Futures Exchange,Thailand Futures Exchange,TFEX,Thailand,Asia,2017,8,2017-08,8/1/2017,536170,37178
10 Year Canadian Government Bond (CGB),Future,Interest Rates,Montreal Exchange,TMX Group,MX,Canada,North America,2017,8,2017-08,8/1/2017,2763653,500997
10 Year Canadian Government Bond (OGB),Option,Interest Rates,Montreal Exchange,TMX Group,MX,Canada,North America,2017,8,2017-08,8/1/2017,4043,2591
10 Year Colombian Government Bond,Future,Interest Rates,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,BVC,Colombia,Latin America,2017,8,2017-08,8/1/2017,14492,3483
10 Year Japan Government Bond,Future,Interest Rates,Japan Exchange,Japan Exchange,JPX,Japan,Asia,2017,8,2017-08,8/1/2017,597918,102820
10 Year Japan Government Bond,Option,Interest Rates,Japan Exchange,Japan Exchange,JPX,Japan,Asia,2017,8,2017-08,8/1/2017,73995,13667
10 year Russian Federation Government Bond,Future,Interest Rates,Moscow Exchange,Moscow Exchange,MOEX,Russia,Europe,2017,8,2017-08,8/1/2017,53852,50606
10 Year Standards,Future,Interest Rates,Eris Exchange,Eris Exchange,ERIS,United States,North America,2017,8,2017-08,8/1/2017,16070,71624
10 Year Swedish Government Bond (SGB10),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Nasdaq,OMX,Sweden,Europe,2017,8,2017-08,8/1/2017,76478,52521
10 Year Treasury Bond,Future,Interest Rates,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,2435694,1057054
10 Year Treasury Bond ,Future,Interest Rates,China Financial Futures Exchange,China Financial Futures Exchange,CFFEX,China,Asia,2017,8,2017-08,8/1/2017,855885,62753
10 Year Treasury Bond,Future,Interest Rates,Korea Exchange,Korea Exchange,KRX,South Korea,Asia,2017,8,2017-08,8/1/2017,947087,99101
10 Year Treasury Note,Future,Interest Rates,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,39078341,3435810
10 Year Treasury Note,Option,Interest Rates,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,12492079,3148962
10 Year USD Deliverable Interest Rate Swap,Future,Interest Rates,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,27562,32990
100 oz Gold,Future,Metals,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,4,0
15 Year Russian Federation Government Bond,Future,Interest Rates,Moscow Exchange,Moscow Exchange,MOEX,Russia,Europe,2017,8,2017-08,8/1/2017,57689,47820
