Group_Name,Year,Month,Report_Year_Month,Volume,Open_Interest
Agriculture,2000,1,2000-1,147,160
Currencies,2000,1,2000-1,38,36
Energy,2000,1,2000-1,116,451
Equity,2000,1,2000-1,255738,44836
"Interest Rates",2000,1,2000-1,30,749
Metals,2000,1,2000-1,1371,7427
Other,2000,1,2000-1,43034,47180
Agriculture,2000,10,2000-10,1,56
Currencies,2000,10,2000-10,2149490,162210
Energy,2000,10,2000-10,0,165
Equity,2000,10,2000-10,1467,605
"Interest Rates",2000,10,2000-10,279194,133419
Metals,2000,10,2000-10,7561,0
Other,2000,10,2000-10,23310,44217
Agriculture,2000,11,2000-11,30,76
Currencies,2000,11,2000-11,2161658,140009
Energy,2000,11,2000-11,20,145
Equity,2000,11,2000-11,951,523
"Interest Rates",2000,11,2000-11,308166,158521
Metals,2000,11,2000-11,40,0
Other,2000,11,2000-11,182600,126520
Agriculture,2000,12,2000-12,54,56
Currencies,2000,12,2000-12,1461741,151112
Energy,2000,12,2000-12,20,125
Equity,2000,12,2000-12,546,595
"Interest Rates",2000,12,2000-12,440133,99110
Metals,2000,12,2000-12,7101,0
Other,2000,12,2000-12,91092,85040
Agriculture,2000,2,2000-2,160,179
Currencies,2000,2,2000-2,33,31
Energy,2000,2,2000-2,229,221
Equity,2000,2,2000-2,248896,45549
"Interest Rates",2000,2,2000-2,5,230
Metals,2000,2,2000-2,2588,3559
Other,2000,2,2000-2,38305,53415
Agriculture,2000,3,2000-3,79,35
Currencies,2000,3,2000-3,30,30
Energy,2000,3,2000-3,87,148
Equity,2000,3,2000-3,231214,40984
"Interest Rates",2000,3,2000-3,20,210
Metals,2000,3,2000-3,518,0
Other,2000,3,2000-3,40072,47180
Agriculture,2000,4,2000-4,35,35
Currencies,2000,4,2000-4,25,24
Energy,2000,4,2000-4,97,93
Equity,2000,4,2000-4,218768,37564
"Interest Rates",2000,4,2000-4,0,210
Metals,2000,4,2000-4,1829,4223
Other,2000,4,2000-4,33828,48010
Agriculture,2000,5,2000-5,37,23
Currencies,2000,5,2000-5,50,37
Energy,2000,5,2000-5,55,43
Equity,2000,5,2000-5,205389,43320
"Interest Rates",2000,5,2000-5,1400,1588
Metals,2000,5,2000-5,1494,2694
Other,2000,5,2000-5,67520,81985
