Group_Name,Year,Month,Report_Year_Month,Volume,Open_Interest
Agriculture,2000,1,2000-1,11369511,5318130
Currencies,2000,1,2000-1,3668704,1265512
Energy,2000,1,2000-1,12179915,2868586
Equity,2000,1,2000-1,121462840,100210002
"Interest Rates",2000,1,2000-1,75781010,27986168
Metals,2000,1,2000-1,10787885,3227909
Other,2000,1,2000-1,544115,211732
Agriculture,2000,10,2000-10,11884254,5419097
Currencies,2000,10,2000-10,3807946,1202943
Energy,2000,10,2000-10,14523701,3691885
Equity,2000,10,2000-10,159421309,141096609
"Interest Rates",2000,10,2000-10,68924793,28269137
Metals,2000,10,2000-10,8429410,2427878
Other,2000,10,2000-10,550395,182009
Agriculture,2000,11,2000-11,12387812,5133813
Currencies,2000,11,2000-11,3937010,1288678
Energy,2000,11,2000-11,14107771,3577751
Equity,2000,11,2000-11,147974069,152208626
"Interest Rates",2000,11,2000-11,68401998,29741279
Metals,2000,11,2000-11,7866475,2266630
Other,2000,11,2000-11,647141,279355
Agriculture,2000,12,2000-12,10337200,5137564
Currencies,2000,12,2000-12,4221882,1145724
Energy,2000,12,2000-12,12321876,3258099
Equity,2000,12,2000-12,145638421,136898905
"Interest Rates",2000,12,2000-12,67373110,26764981
Metals,2000,12,2000-12,8431288,2269130
Other,2000,12,2000-12,498703,228260
Agriculture,2000,2,2000-2,12527526,4785342
Currencies,2000,2,2000-2,3624213,1348838
Energy,2000,2,2000-2,10702305,2784600
Equity,2000,2,2000-2,116514884,112812233
"Interest Rates",2000,2,2000-2,82895253,28825262
Metals,2000,2,2000-2,12854244,3125154
Other,2000,2,2000-2,552955,212626
Agriculture,2000,3,2000-3,12202217,5335148
Currencies,2000,3,2000-3,4568503,1199786
Energy,2000,3,2000-3,13422501,3047110
Equity,2000,3,2000-3,145137860,112141843
"Interest Rates",2000,3,2000-3,80132516,25890741
Metals,2000,3,2000-3,10376236,2964041
Other,2000,3,2000-3,507007,210299
Agriculture,2000,4,2000-4,10651470,4933148
Currencies,2000,4,2000-4,3511505,1296398
Energy,2000,4,2000-4,11330284,3069991
