Region,Year,Month,Report_Year_Month,Volume,Open_Interest
Asia,2000,1,2000-1,25875704,8404205
Europe,2000,1,2000-1,89485216,59896030
"Latin America",2000,1,2000-1,4779667,7385771
"North America",2000,1,2000-1,114094935,63804485
Other,2000,1,2000-1,1558458,1597548
Asia,2000,10,2000-10,44962535,8927605
Europe,2000,10,2000-10,87311143,73758577
"Latin America",2000,10,2000-10,8607941,9275700
"North America",2000,10,2000-10,123994873,87404040
Other,2000,10,2000-10,2665316,2923636
Asia,2000,11,2000-11,48453115,9532193
Europe,2000,11,2000-11,84684998,83234835
"Latin America",2000,11,2000-11,7854391,9222454
"North America",2000,11,2000-11,111887644,89220655
Other,2000,11,2000-11,2442128,3285995
Asia,2000,12,2000-12,51651333,7229743
Europe,2000,12,2000-12,79014435,68349468
"Latin America",2000,12,2000-12,5677454,8784118
"North America",2000,12,2000-12,110018816,88719386
Other,2000,12,2000-12,2460442,2619948
Asia,2000,2,2000-2,29841789,9194133
Europe,2000,2,2000-2,89818709,67214354
"Latin America",2000,2,2000-2,6062712,7841730
"North America",2000,2,2000-2,112179891,67710571
Other,2000,2,2000-2,1768279,1933267
Asia,2000,3,2000-3,31912410,7588410
Europe,2000,3,2000-3,98949470,59098950
"Latin America",2000,3,2000-3,5833705,8057628
"North America",2000,3,2000-3,128039417,75324216
Other,2000,3,2000-3,1611838,719764
Asia,2000,4,2000-4,28293603,7870854
Europe,2000,4,2000-4,76728298,62887707
"Latin America",2000,4,2000-4,7074898,7655937
"North America",2000,4,2000-4,110172994,71390597
Other,2000,4,2000-4,1043219,850147
Asia,2000,5,2000-5,32720041,8413139
Europe,2000,5,2000-5,97499343,75659467
"Latin America",2000,5,2000-5,7920500,8238542
"North America",2000,5,2000-5,112811427,75165980
Other,2000,5,2000-5,1759734,1118650
Asia,2000,6,2000-6,36831686,7623620
Europe,2000,6,2000-6,92113501,64230564
"Latin America",2000,6,2000-6,7046223,8451202
"North America",2000,6,2000-6,108088981,76647581
Other,2000,6,2000-6,2339340,1319330
Asia,2000,7,2000-7,31733923,8622888
Europe,2000,7,2000-7,70617089,68778809
"Latin America",2000,7,2000-7,7313986,9053372
"North America",2000,7,2000-7,92863230,75497306
Other,2000,7,2000-7,2054437,1769638
Asia,2000,8,2000-8,44080110,8804591
Europe,2000,8,2000-8,75591925,75439532
"Latin America",2000,8,2000-8,8257664,9178750
"North America",2000,8,2000-8,100360527,80914257
Other,2000,8,2000-8,1469759,2198834
Asia,2000,9,2000-9,41740328,8148518
Europe,2000,9,2000-9,92160883,66761053
"Latin America",2000,9,2000-9,6580372,9135934
"North America",2000,9,2000-9,104623129,84760906
Other,2000,9,2000-9,2175965,2268553
Asia,2001,1,2001-1,49821836,8463710
Europe,2001,1,2001-1,112304022,80480026
"Latin America",2001,1,2001-1,6562964,8375079
"North America",2001,1,2001-1,142034772,80877517
Other,2001,1,2001-1,6589972,3170591
Asia,2001,10,2001-10,98025241,10481157
Europe,2001,10,2001-10,138773879,129913278
"Latin America",2001,10,2001-10,9689616,5895646
"North America",2001,10,2001-10,143641443,118434105
Other,2001,10,2001-10,6126851,3758135
Asia,2001,11,2001-11,169826917,12807442
Europe,2001,11,2001-11,151628563,146869420
"Latin America",2001,11,2001-11,9204277,6312160
"North America",2001,11,2001-11,151083574,125622245
Other,2001,11,2001-11,6460228,4188078
Asia,2001,12,2001-12,159572046,9007455
Europe,2001,12,2001-12,95124110,110161790
"Latin America",2001,12,2001-12,6826719,6258315
"North America",2001,12,2001-12,118075069,115968738
Other,2001,12,2001-12,7734888,3553531
Asia,2001,2,2001-2,53348859,9450775
Europe,2001,2,2001-2,101096060,92537222
"Latin America",2001,2,2001-2,7772642,8142211
"North America",2001,2,2001-2,120032614,85614302
Other,2001,2,2001-2,4389138,4326685
Asia,2001,3,2001-3,57629095,8885329
Europe,2001,3,2001-3,127014422,84646571
"Latin America",2001,3,2001-3,10138290,7169792
"North America",2001,3,2001-3,143001881,94671362
Other,2001,3,2001-3,4978683,2183672
Asia,2001,4,2001-4,65467099,9019680
Europe,2001,4,2001-4,106747470,93479884
"Latin America",2001,4,2001-4,8330270,6240776
"North America",2001,4,2001-4,139966641,101703842
Other,2001,4,2001-4,4269531,2353461
Asia,2001,5,2001-5,67881319,9399802
Europe,2001,5,2001-5,110708950,107098986
"Latin America",2001,5,2001-5,8138443,5792355
"North America",2001,5,2001-5,139516230,104739142
Other,2001,5,2001-5,5757285,2500446
Asia,2001,6,2001-6,72979744,8829629
Europe,2001,6,2001-6,115907566,94761730
"Latin America",2001,6,2001-6,7280551,5145782
"North America",2001,6,2001-6,126707024,106009504
Other,2001,6,2001-6,5716405,2326643
Asia,2001,7,2001-7,82942125,9432288
Europe,2001,7,2001-7,102376381,106954467
"Latin America",2001,7,2001-7,7377455,4727236
"North America",2001,7,2001-7,120004821,104252323
Other,2001,7,2001-7,5619068,3054509
Asia,2001,8,2001-8,113527916,11186290
Europe,2001,8,2001-8,106273339,118996714
"Latin America",2001,8,2001-8,9240812,5130904
"North America",2001,8,2001-8,128012113,110342492
Other,2001,8,2001-8,5176989,3697776
Asia,2001,9,2001-9,126114117,9917023
Europe,2001,9,2001-9,143792509,110408593
"Latin America",2001,9,2001-9,7429486,5395243
"North America",2001,9,2001-9,122220836,105275909
Other,2001,9,2001-9,6389612,3377565
Asia,2002,1,2002-1,152455269,11099288
Europe,2002,1,2002-1,137864026,130453447
"Latin America",2002,1,2002-1,20995627,16297693
"North America",2002,1,2002-1,153384705,104604145
Other,2002,1,2002-1,7725061,3046852
Asia,2002,10,2002-10,278100373,12949477
Europe,2002,10,2002-10,167724082,157277952
"Latin America",2002,10,2002-10,24379597,12185065
"North America",2002,10,2002-10,191813225,145330200
Other,2002,10,2002-10,5905023,3885251
Asia,2002,11,2002-11,244243502,12591267
Europe,2002,11,2002-11,130895215,167419999
"Latin America",2002,11,2002-11,26528470,12561471
"North America",2002,11,2002-11,154691509,148030115
