Exchange_Name,FIA_Region,Report_Year,Open_Interest,Volume,Ratio
ASX 24,Asia,1997,5000,2320,0.464
ASX 24,Asia,1998,5000,11412,2.2824
ASX 24,Asia,1999,5000,8203,1.6406
ASX 24,Asia,2000,5000,2318,0.4636
ASX 24,Asia,2001,5000,346,0.0692
ASX 24,Asia,2002,5000,1151,0.2302
ASX 24,Asia,2003,5000,12850,2.57
ASX 24,Asia,2004,5000,13486,2.6972
ASX 24,Asia,2005,5000,19779,3.9558
ASX 24,Asia,2006,5000,48916,9.7832
ASX 24,Asia,2007,5000,127491,25.4982
ASX 24,Asia,2008,5000,99346,19.8692
ASX 24,Asia,2009,5000,120594,24.1188
ASX 24,Asia,2010,5000,181147,36.2294
ASX 24,Asia,2011,5000,204276,40.8552
ASX 24,Asia,2012,5000,151861,30.3722
ASX 24,Asia,2013,451077,137969,0.305865739
ASX 24,Asia,2014,578806,207367,0.358266846
ASX 24,Asia,2015,675891,199251,0.294797534
ASX 24,Asia,2016,457793,143265,0.312947118
Bolsa de Mercadorias & Futuros,Latin America,2000,6000,53963,8.993833333
Bolsa de Mercadorias & Futuros,Latin America,2001,6000,67527,11.2545
Bolsa de Mercadorias & Futuros,Latin America,2002,6000,62896,10.48266667
Bolsa de Mercadorias & Futuros,Latin America,2003,6000,101734,16.95566667
Bolsa de Mercadorias & Futuros,Latin America,2004,6000,40553,6.758833333
Bolsa de Mercadorias & Futuros,Latin America,2005,6000,25466,4.244333333
Bolsa de Mercadorias & Futuros,Latin America,2006,6000,26426,4.404333333
Bolsa de Mercadorias & Futuros,Latin America,2007,6000,3942,0.657
Bolsa de Mercadorias & Futuros,Latin America,2010,6000,1305,0.2175
Bolsa de Mercadorias & Futuros,Latin America,2011,6000,9556,1.592666667
Bolsa de Mercadorias & Futuros,Latin America,2012,6000,3094,0.515666667
Bolsa de Mercadorias & Futuros,Latin America,2013,1384,3561,2.572976879
Bolsa de Mercadorias & Futuros,Latin America,2014,1111,4038,3.634563456
Bolsa de Mercadorias & Futuros,Latin America,2015,1474,7519,5.101085482
Bolsa de Mercadorias & Futuros,Latin America,2016,4778,13744,2.876517371
Borsa Istanbul,Other,2011,7000,32,0.004571429
Borsa Istanbul,Other,2012,58,928,16
Borsa Istanbul,Other,2013,86,152,1.76744186
Borsa Istanbul,Other,2014,9,26,2.888888889
Borsa Istanbul,Other,2015,10009,23647,2.362573684
Borsa Istanbul,Other,2016,64399,191305,2.970620662
Borsa Italiana,Europe,2008,7865,634,0.080610299
Borsa Italiana,Europe,2009,7865,5188,0.659631278
Borsa Italiana,Europe,2010,7865,5947,0.756134774
Borsa Italiana,Europe,2011,7865,3575,0.454545455
Borsa Italiana,Europe,2012,7865,1239219,157.5612206
Borsa Italiana,Europe,2013,27091,9169,0.338451884
Borsa Italiana,Europe,2014,52638,7544,0.143318515
Borsa Italiana,Europe,2015,12134,2811,0.231663095
Borsa Italiana,Europe,2016,5907,2315,0.391907906
Central Japan Commodity Exchange,Asia,2000,6000,19762511,3293.751833
Central Japan Commodity Exchange,Asia,2001,6000,26739073,4456.512167
Central Japan Commodity Exchange,Asia,2002,6000,29550868,4925.144667
Central Japan Commodity Exchange,Asia,2003,6000,30690378,5115.063
Central Japan Commodity Exchange,Asia,2004,6000,32381114,5396.852333
Central Japan Commodity Exchange,Asia,2005,6000,21799959,3633.3265
Central Japan Commodity Exchange,Asia,2006,6000,8989242,1498.207
Central Japan Commodity Exchange,Asia,2007,6000,6329426,1054.904333
Central Japan Commodity Exchange,Asia,2008,6000,3185378,530.8963333
Central Japan Commodity Exchange,Asia,2009,6000,1701600,283.6
Central Japan Commodity Exchange,Asia,2010,6000,647010,107.835
Chicago Board of Trade,North America,1998,6000,272,0.045333333
Chicago Board of Trade,North America,1999,6000,22,0.003666667
Chicago Board of Trade,North America,2005,6000,2676,0.446
Chicago Board of Trade,North America,2006,6000,5666,0.944333333
Chicago Board of Trade,North America,2007,6000,79293,13.2155
Chicago Board of Trade,North America,2008,6000,321330,53.555
Chicago Board of Trade,North America,2009,6000,347122,57.85366667
Chicago Board of Trade,North America,2010,6000,822808,137.1346667
Chicago Board of Trade,North America,2011,6000,884625,147.4375
Chicago Board of Trade,North America,2012,6000,688056,114.676
Chicago Board of Trade,North America,2013,168725,343170,2.033901319
Chicago Board of Trade,North America,2014,94644,259317,2.739920122
Chicago Board of Trade,North America,2015,75693,196990,2.602486359
Chicago Board of Trade,North America,2016,42506,133716,3.145814709
Chicago Climate Futures Exchange,North America,2008,42506,483438,11.37340611
Chicago Climate Futures Exchange,North America,2009,42506,1372995,32.30120454
Chicago Climate Futures Exchange,North America,2010,42506,441601,10.38914506
Chicago Climate Futures Exchange,North America,2011,42506,84580,1.989836729
Chicago Climate Futures Exchange,North America,2012,42506,21658,0.509528067
Chicago Mercantile Exchange,North America,2005,42506,4,9.41044E-05
Dalian Commodity Exchange,Asia,2013,2896415,149566187,51.63838297
Dalian Commodity Exchange,Asia,2014,3524896,121293730,34.41058403
Dalian Commodity Exchange,Asia,2015,1806781,31368889,17.36175497
Dalian Commodity Exchange,Asia,2016,2078694,68851912,33.12267799
Dubai Gold & Commodities Exchange,Asia,2013,782,19717,25.21355499
Dubai Gold & Commodities Exchange,Asia,2014,1023,24317,23.77028348
Dubai Gold & Commodities Exchange,Asia,2015,2119,53162,25.08824917
Dubai Gold & Commodities Exchange,Asia,2016,4496,139319,30.98732206
Dubai Mercantile Exchange,Asia,2007,4496,223174,49.6383452
Dubai Mercantile Exchange,Asia,2008,4496,330379,73.48287367
Dubai Mercantile Exchange,Asia,2009,4496,553888,123.1957295
Dubai Mercantile Exchange,Asia,2010,4496,744727,165.6421263
Dubai Mercantile Exchange,Asia,2011,4496,883359,196.4766459
Dubai Mercantile Exchange,Asia,2012,4496,1176056,261.5782918
Dubai Mercantile Exchange,Asia,2013,226294,1600918,7.074504848
Dubai Mercantile Exchange,Asia,2014,204648,2119936,10.35893827
Dubai Mercantile Exchange,Asia,2015,239141,1709888,7.150124822
Dubai Mercantile Exchange,Asia,2016,223497,1512812,6.768824637
Eurex,Europe,2008,223497,80084,0.358322483
Eurex,Europe,2009,223497,23642,0.105782181
Eurex,Europe,2010,223497,127197,0.569121733
Eurex,Europe,2011,223497,81048,0.36263574
Eurex,Europe,2012,223497,143391,0.641579082
Eurex,Europe,2013,710546,91765,0.129147163
Eurex,Europe,2014,844787,35651,0.04220117
ICE Futures Europe,Europe,2005,844787,42055085,49.78187993
ICE Futures Europe,Europe,2006,844787,92721050,109.7567197
ICE Futures Europe,Europe,2007,844787,138470956,163.9122714
ICE Futures Europe,Europe,2008,844787,152950133,181.0517124
ICE Futures Europe,Europe,2009,844787,165693531,196.1364592
ICE Futures Europe,Europe,2010,844787,217120773,257.0124457
ICE Futures Europe,Europe,2011,844787,269003783,318.4279386
ICE Futures Europe,Europe,2012,844787,282120115,333.9541387
ICE Futures Europe,Europe,2013,119816566,320300499,2.673257211
ICE Futures Europe,Europe,2014,130857731,321448349,2.456471976
ICE Futures Europe,Europe,2015,163438624,375278040,2.296140477
ICE Futures Europe,Europe,2016,122252051,312010578,2.552190949
ICE Futures Singapore,Asia,2015,11155,167046,14.97498879
ICE Futures Singapore,Asia,2016,56852,1128123,19.84315415
ICE Futures U.S.,North America,2012,56852,84290883,1482.637075
ICE Futures U.S.,North America,2013,428741508,324470071,0.756796496
ICE Futures U.S.,North America,2014,340237305,247539822,0.727550502
ICE Futures U.S.,North America,2015,305847725,235029551,0.768452834
