Standardized_Contract,Contract_Type,Group_Name,Country,Region,Exchange_Name,Parent_Name,Volume,Volume_M_Change,Volume_Y_Change,Volume_YTD,Volume_YTD_Change,Open_Interest,Open_Interest_M_Change,Open_Interest_Y_Change,Open_Interest_YTD,Open_Interest_YTD_Change
S&P/ASX Index,Future,Equity,Australia,Asia,ASX,ASX,"5,204",98.8%,4165.6%,22594,278.3%,"1,135",-16.7%,960.7%,11572,632.9%
All Futures on Individual Equities,Future,Equity,Australia,Asia,ASX,ASX,"307,049",276.2%,-45.0%,2057146,-37.3%,"505,236",-4.1%,-42.2%,5312166,-45.5%
S&P/ASX Index,Option,Equity,Australia,Asia,ASX,ASX,"993,498",7.1%,4.4%,7664362,-17.8%,"845,849",2.7%,-5.4%,7067598,-11.9%
All Options on Individual Equities,Option,Equity,Australia,Asia,ASX,ASX,"6,753,895",-21.2%,-6.7%,68981206,9.0%,"8,220,221",-9.7%,4.7%,76326345,9.5%
Electricity Peak Load Strip VIC DV,Future,Energy,Australia,Asia,ASX 24,ASX,1,,-93.3%,98,63.3%,0,,,0,
Electricity Base Load $300 Cap Strip RV,Future,Energy,Australia,Asia,ASX 24,ASX,3,,-96.3%,141,51.6%,0,,,0,
Electricity Base Load $300 Cap Strip RQ,Future,Energy,Australia,Asia,ASX 24,ASX,50,-41.2%,-30.6%,602,87.0%,0,,,0,
Electricity Base Load Strip NSW,Future,Energy,Australia,Asia,ASX 24,ASX,231,-55.3%,-36.0%,2576,12.2%,0,,,0,
Electricity Base Load Strip QLD,Future,Energy,Australia,Asia,ASX 24,ASX,284,95.9%,58.7%,2730,25.9%,0,,,0,
Electricity Base Load Strip VIC,Future,Energy,Australia,Asia,ASX 24,ASX,433,93.3%,-8.5%,3688,3.9%,0,,,0,
10 Year Treasury Bond Overnight,Option,Interest Rates,Australia,Asia,ASX 24,ASX,"1,300",,5100.0%,4900,19500.0%,0,,,0,
3 Year Treasury Bond Overnight,Option,Interest Rates,Australia,Asia,ASX 24,ASX,"22,955",-22.1%,7.5%,365338,-13.8%,0,,,0,
3 Year Treasury Bond Intra-Day,Option,Interest Rates,Australia,Asia,ASX 24,ASX,"24,850",-45.9%,-35.1%,330559,-26.1%,0,,,0,
Electricity Base Load Monthly QLD EQ,Future,Energy,Australia,Asia,ASX 24,ASX,2,,,162,-55.5%,2,,-80.0%,277,-54.6%
Electricity Base Load Monthly VIC EV,Future,Energy,Australia,Asia,ASX 24,ASX,0,-100.0%,-100.0%,354,174.4%,10,0.0%,-86.8%,412,264.6%
S&P/ASX 200 Financials-x-A-REIT Index,Future,Equity,Australia,Asia,ASX 24,ASX,22,-69.4%,-67.6%,575,0.2%,12,20.0%,200.0%,176,1000.0%
Electricity Base Load Strip SA,Option,Energy,Australia,Asia,ASX 24,ASX,0,-100.0%,,15,-80.0%,15,0.0%,-80.0%,30,-94.4%
Electricity Peak Load Quarterly SA,Future,Energy,Australia,Asia,ASX 24,ASX,0,,-100.0%,58,262.5%,27,0.0%,2600.0%,306,302.6%
Mini-ASX SPI 200,Future,Equity,Australia,Asia,ASX 24,ASX,745,-5.6%,-62.8%,6285,-72.5%,35,-71.3%,-97.8%,1810,-83.1%
