Standardized_Contract,Contract_Type,Group_Name,Country,Region,Exchange_Name,Parent_Name,Volume,Volume_M_Change,Volume_Y_Change, Volume_YTD ,Volume_YTD_Change,Open_Interest,Open_Interest_M_Change,Open_Interest_Y_Change, Open_Interest_YTD ,Open_Interest_YTD_Change
S&P/ASX Index,Future,Equity,Australia,Asia,ASX,ASX,"5,204",98.80%,4165.60%," 22,594 ",278.30%,"1,135",-16.70%,960.70%," 11,572 ",632.90%
All Futures on Individual Equities,Future,Equity,Australia,Asia,ASX,ASX,"307,049",276.20%,-45.00%," 2,057,146 ",-37.30%,"505,236",-4.10%,-42.20%," 5,312,166 ",-45.50%
S&P/ASX Index,Option,Equity,Australia,Asia,ASX,ASX,"993,498",7.10%,4.40%," 7,664,362 ",-17.80%,"845,849",2.70%,-5.40%," 7,067,598 ",-11.90%
All Options on Individual Equities,Option,Equity,Australia,Asia,ASX,ASX,"6,753,895",-21.20%,-6.70%," 68,981,206 ",9.00%,"8,220,221",-9.70%,4.70%," 76,326,345 ",9.50%
Electricity Peak Load Strip VIC DV,Future,Energy,Australia,Asia,ASX 24,ASX,1,,-93.30%, 98 ,63.30%,0,,,,
Electricity Base Load $300 Cap Strip RV,Future,Energy,Australia,Asia,ASX 24,ASX,3,,-96.30%, 141 ,51.60%,0,,,,
Electricity Base Load $300 Cap Strip RQ,Future,Energy,Australia,Asia,ASX 24,ASX,50,-41.20%,-30.60%, 602 ,87.00%,0,,,,
Electricity Base Load Strip NSW,Future,Energy,Australia,Asia,ASX 24,ASX,231,-55.30%,-36.00%," 2,576 ",12.20%,0,,,,
Electricity Base Load Strip QLD,Future,Energy,Australia,Asia,ASX 24,ASX,284,95.90%,58.70%," 2,730 ",25.90%,0,,,,
Electricity Base Load Strip VIC,Future,Energy,Australia,Asia,ASX 24,ASX,433,93.30%,-8.50%," 3,688 ",3.90%,0,,,,
10 Year Treasury Bond Overnight,Option,Interest Rates,Australia,Asia,ASX 24,ASX,"1,300",,5100.00%," 4,900 ",19500.00%,0,,,,
3 Year Treasury Bond Overnight,Option,Interest Rates,Australia,Asia,ASX 24,ASX,"22,955",-22.10%,7.50%," 365,338 ",-13.80%,0,,,,
3 Year Treasury Bond Intra-Day,Option,Interest Rates,Australia,Asia,ASX 24,ASX,"24,850",-45.90%,-35.10%," 330,559 ",-26.10%,0,,,,
Electricity Base Load Monthly QLD EQ,Future,Energy,Australia,Asia,ASX 24,ASX,2,,, 162 ,-55.50%,2,,-80.00%, 277 ,-54.60%
Electricity Base Load Monthly VIC EV,Future,Energy,Australia,Asia,ASX 24,ASX,0,-100.00%,-100.00%, 354 ,174.40%,10,0.00%,-86.80%, 412 ,264.60%
S&P/ASX 200 Financials-x-A-REIT Index,Future,Equity,Australia,Asia,ASX 24,ASX,22,-69.40%,-67.60%, 575 ,0.20%,12,20.00%,200.00%, 176 ,1000.00%
Electricity Base Load Strip SA,Option,Energy,Australia,Asia,ASX 24,ASX,0,-100.00%,, 15 ,-80.00%,15,0.00%,-80.00%, 30 ,-94.40%
Electricity Peak Load Quarterly SA,Future,Energy,Australia,Asia,ASX 24,ASX,0,,-100.00%, 58 ,262.50%,27,0.00%,2600.00%, 306 ,302.60%
Mini-ASX SPI 200,Future,Equity,Australia,Asia,ASX 24,ASX,745,-5.60%,-62.80%," 6,285 ",-72.50%,35,-71.30%,-97.80%," 1,810 ",-83.10%
NZ Electricity Base Load Strip OTAHUHU,Option,Energy,Australia,Asia,ASX 24,ASX,0,,, 100 ,,100,0.00%,, 400 ,
Electricity Base Load Quarterly SA,Option,Energy,Australia,Asia,ASX 24,ASX,45,350.00%,, 190 ,167.60%,145,31.80%,90.80%, 775 ,20.30%
NZ Electricity Peak Load Quarterly (EG),Future,Energy,Australia,Asia,ASX 24,ASX,0,,, 60 ,-45.50%,200,0.00%,900.00%," 1,710 ",216.70%
Eastern Australia Wheat,Option,Agriculture,Australia,Asia,ASX 24,ASX,0,,, 275 ,,275,0.00%,, 825 ,
Electricity Base Load $300 CAP Quarterly SA (GS),Future,Energy,Australia,Asia,ASX 24,ASX,51,200.00%,8.50%, 492 ,-21.80%,282,18.00%,49.20%," 2,492 ",18.70%
Electricity Peak Load Quarterly NSW,Future,Energy,Australia,Asia,ASX 24,ASX,35,288.90%,-85.80%," 1,529 ",-14.10%,540,6.30%,-35.90%," 6,011 ",-18.70%
Electricity Peak Load Quarterly QLD,Future,Energy,Australia,Asia,ASX 24,ASX,132,25.70%,85.90%, 803 ,-22.20%,596,10.00%,57.30%," 4,225 ",24.60%
NZ Electricity Peak Load Quarterly (EC),Future,Energy,Australia,Asia,ASX 24,ASX,50,,150.00%, 930 ,-41.90%,680,7.90%,7.90%," 4,800 ",-28.00%
Electricity Peak Load Quarterly VIC,Future,Energy,Australia,Asia,ASX 24,ASX,58,38.10%,-76.90%," 1,488 ",-25.00%,722,-1.10%,-12.50%," 6,986 ",19.90%
Electricity Base Load Quarterly NSW,Option,Energy,Australia,Asia,ASX 24,ASX,40,-82.60%,-82.20%," 1,099 ",-44.00%,845,5.00%,-42.10%," 6,300 ",-51.10%
Eastern Australia Feed Barley,Future,Agriculture,Australia,Asia,ASX 24,ASX,"1,029",,," 1,804 ",-66.80%,993,873.50%,156.60%," 2,955 ",-70.60%
Electricity Base Load Quarterly SA,Future,Energy,Australia,Asia,ASX 24,ASX,59,84.40%,-82.80%," 1,670 ",-31.20%,"1,099",1.50%,-23.50%," 10,837 ",-0.30%
Electricity Base Load Quarterly QLD,Option,Energy,Australia,Asia,ASX 24,ASX,15,-42.30%,-96.10%," 1,659 ",-43.60%,"1,519",1.00%,-17.90%," 14,844 ",8.80%
Electricity Base Load Quarterly VIC,Option,Energy,Australia,Asia,ASX 24,ASX,215,-26.60%,-51.10%," 2,962 ",-12.30%,"1,537",11.20%,-37.10%," 13,616 ",-32.80%
Electricity Base Load Strip NSW,Option,Energy,Australia,Asia,ASX 24,ASX,266,107.80%,166.00%," 2,103 ",31.40%,"1,632",8.30%,36.60%," 13,389 ",34.80%
NZ Electricity Base Load Quarterly (EE),Option,Energy,Australia,Asia,ASX 24,ASX,400,-11.10%,," 2,950 ",1129.20%,"2,300",21.10%,1050.00%," 11,400 ",383.10%
Electricity Base Load $300 CAP Quarterly VIC (GV),Future,Energy,Australia,Asia,ASX 24,ASX,517,227.20%,-37.50%," 5,764 ",-12.90%,"2,351",3.00%,-11.60%," 23,133 ",2.30%
NZ Electricity Base Load Calendar Month (EH),Future,Energy,Australia,Asia,ASX 24,ASX,"3,350",-15.70%,26.40%," 35,750 ",64.80%,"2,459",-26.00%,34.00%," 26,004 ",79.10%
NZ Electricity Base Load Quarterly (EA),Option,Energy,Australia,Asia,ASX 24,ASX,500,25.00%,," 2,850 ",359.70%,"2,700",22.70%,350.00%," 13,050 ",313.00%
Electricity Base Load Strip QLD,Option,Energy,Australia,Asia,ASX 24,ASX,425,68.00%,35.40%," 4,009 ",32.40%,"2,836",1.40%,38.90%," 25,187 ",52.90%
Electricity Base Load Strip VIC,Option,Energy,Australia,Asia,ASX 24,ASX,690,945.50%,84.00%," 3,067 ",47.60%,"3,122",12.00%,9.90%," 25,431 ",0.30%
NZ Electricity Base Load Calendar Month (ED),Future,Energy,Australia,Asia,ASX 24,ASX,"3,991",-16.80%,61.00%," 38,170 ",112.70%,"3,141",1.00%,33.60%," 29,589 ",109.70%
Electricity Base Load $300 CAP Quarterly NSW (GN),Future,Energy,Australia,Asia,ASX 24,ASX,238,-41.20%,-59.70%," 6,071 ",-9.40%,"3,148",2.70%,1.90%," 25,848 ",-0.70%
3 Year Treasury Bond,Option,Interest Rates,Australia,Asia,ASX 24,ASX,"3,500",,-50.10%," 62,856 ",-78.80%,"3,500",16.70%,-41.90%," 76,092 ",-75.20%
Electricity Base Load $300 CAP Quarterly QLD (GQ),Future,Energy,Australia,Asia,ASX 24,ASX,816,64.50%,36.90%," 8,305 ",-3.00%,"3,567",7.80%,9.00%," 28,686 ",11.40%
S&P/ASX 200 A-REIT Index,Future,Equity,Australia,Asia,ASX 24,ASX,"16,928",123.10%,10.00%," 75,077 ",0.90%,"5,352",-22.40%,26.70%," 60,728 ",23.40%
Electricity Base Load Quarterly NSW,Future,Energy,Australia,Asia,ASX 24,ASX,"1,819",-41.00%,-26.40%," 23,379 ",-9.60%,"7,031",5.50%,-12.70%," 66,993 ",-13.00%
