Contract_Type,Year,Month,Report_Year_Month,Volume,Open_Interest
Future,2000,01,2000-01,121229449,33052615
Option,2000,01,2000-01,114564531,108035424
Future,2000,02,2000-02,130779059,34343331
Option,2000,02,2000-02,108892321,119550724
Future,2000,03,2000-03,135965887,32917654
Option,2000,03,2000-03,130380953,117871314
Future,2000,04,2000-04,114067964,33574966
Option,2000,04,2000-04,109245048,117080276
Future,2000,05,2000-05,135401122,36153887
Option,2000,05,2000-05,117309923,132441891
Future,2000,06,2000-06,130018055,32466678
Option,2000,06,2000-06,116401676,125805619
Future,2000,07,2000-07,97714401,34370447
Option,2000,07,2000-07,106868264,129351566
Future,2000,08,2000-08,112653576,35816523
Option,2000,08,2000-08,117106409,140719441
Future,2000,09,2000-09,123999967,33660571
Option,2000,09,2000-09,123280710,137414393
Future,2000,10,2000-10,117130155,34740837
Option,2000,10,2000-10,150411653,147548721
Future,2000,11,2000-11,115358851,36346223
Option,2000,11,2000-11,139963425,158149909
Future,2000,12,2000-12,114326992,32926614
Option,2000,12,2000-12,134495488,142776049
Future,2001,01,2001-01,146442249,34812549
Option,2001,01,2001-01,170871317,146554374
Future,2001,02,2001-02,133806639,36747362
Option,2001,02,2001-02,152832674,163323833
Future,2001,03,2001-03,166580699,34801510
Option,2001,03,2001-03,176181672,162755216
Future,2001,04,2001-04,141242850,34593177
Option,2001,04,2001-04,183538161,178204466
Future,2001,05,2001-05,147562005,35518760
Option,2001,05,2001-05,184440222,194011971
Future,2001,06,2001-06,149830549,33257443
Option,2001,06,2001-06,178760741,183815845
Future,2001,07,2001-07,129071460,34082155
Option,2001,07,2001-07,189248390,194338668
Future,2001,08,2001-08,146142504,36670682
Option,2001,08,2001-08,216088665,212683494
Future,2001,09,2001-09,166303433,34506364
Option,2001,09,2001-09,239643127,199867969
Future,2001,10,2001-10,156689444,37470184
Option,2001,10,2001-10,239567586,231012137
Future,2001,11,2001-11,186497185,39294238
Option,2001,11,2001-11,301706374,256505107
Future,2001,12,2001-12,136504836,34538498
Option,2001,12,2001-12,250827996,210411331
Future,2002,01,2002-01,178852247,46071624
Option,2002,01,2002-01,293572441,219429801
Future,2002,02,2002-02,159308221,42766957
Option,2002,02,2002-02,248174244,251029193
Future,2002,03,2002-03,183092477,41223922
Option,2002,03,2002-03,273484651,227656508
Future,2002,04,2002-04,171409634,42570255
Option,2002,04,2002-04,303854725,242156181
Future,2002,05,2002-05,186329579,44916824
Option,2002,05,2002-05,316640798,262427568
Future,2002,06,2002-06,196466173,41800068
Option,2002,06,2002-06,280378261,244194071
Future,2002,07,2002-07,220493455,46156290
Option,2002,07,2002-07,381340041,273259704
Future,2002,08,2002-08,205432680,47173230
Option,2002,08,2002-08,295942605,299660837
Future,2002,09,2002-09,219019402,44700863
Option,2002,09,2002-09,310367226,261865693
Future,2002,10,2002-10,236041426,47812580
Option,2002,10,2002-10,431880874,283815365
Future,2002,11,2002-11,192407047,48319795
Option,2002,11,2002-11,369427976,297402843
Future,2002,12,2002-12,176668999,47542474
Option,2002,12,2002-12,311203811,246546324
Future,2003,01,2003-01,217208048,55767434
Option,2003,01,2003-01,388790676,250941963
Future,2003,02,2003-02,217274707,59815904
Option,2003,02,2003-02,355924290,274679671
Future,2003,03,2003-03,275614084,57521023
Option,2003,03,2003-03,417801347,248609134
Future,2003,04,2003-04,225359529,57767241
Option,2003,04,2003-04,497083127,264177525
Future,2003,05,2003-05,242105211,62204470
Option,2003,05,2003-05,393065442,287744838
Future,2003,06,2003-06,295164448,58091708
Option,2003,06,2003-06,383820624,275514647
Future,2003,07,2003-07,260146200,66169911
Option,2003,07,2003-07,398430583,296842222
Future,2003,08,2003-08,223291056,68397169
Option,2003,08,2003-08,384121698,316398451
Future,2003,09,2003-09,276546185,68899372
Option,2003,09,2003-09,459305057,307552501
Future,2003,10,2003-10,272001889,74009296
Option,2003,10,2003-10,537029655,329588301
Future,2003,11,2003-11,225483398,74876341
Option,2003,11,2003-11,443954277,336134348
Future,2003,12,2003-12,240414297,77178850
Option,2003,12,2003-12,416184666,287088723
Future,2004,01,2004-01,260514395,84067311
Option,2004,01,2004-01,414578615,298583006
Future,2004,02,2004-02,249682771,89793213
Option,2004,02,2004-02,417007779,333548589
Future,2004,03,2004-03,343752637,86842152
Option,2004,03,2004-03,532158489,326201265
Future,2004,04,2004-04,286526597,101728770
Option,2004,04,2004-04,439040784,349535383
Future,2004,05,2004-05,297058622,94934206
Option,2004,05,2004-05,491004570,361639600
Future,2004,06,2004-06,324976046,90294625
Option,2004,06,2004-06,487207855,340790151
Future,2004,07,2004-07,269802096,92596091
Option,2004,07,2004-07,407979669,361014574
Future,2004,08,2004-08,275001220,89359480
Option,2004,08,2004-08,391860398,372833663
Future,2004,09,2004-09,328301078,86503771
Option,2004,09,2004-09,398643356,356331076
Future,2004,10,2004-10,277670132,87617234
Option,2004,10,2004-10,466708387,384191797
Future,2004,11,2004-11,298632664,90339127
Option,2004,11,2004-11,463025288,400734600
Future,2004,12,2004-12,279206101,84442945
Option,2004,12,2004-12,386602253,354180477
Future,2005,01,2005-01,284642017,92010439
Option,2005,01,2005-01,436516665,344631027
Future,2005,02,2005-02,290076884,98236559
Option,2005,02,2005-02,393347349,385957457
Future,2005,03,2005-03,382121599,93507819
Option,2005,03,2005-03,515668878,375794594
Future,2005,04,2005-04,336605994,94007408
Option,2005,04,2005-04,460902319,404856791
Future,2005,05,2005-05,312754639,94173765
Option,2005,05,2005-05,443494821,418130529
Future,2005,06,2005-06,379913446,88729205
Option,2005,06,2005-06,446706606,405772647
Future,2005,07,2005-07,280080743,90249157
Option,2005,07,2005-07,480153885,447733213
Future,2005,08,2005-08,323710023,93660718
Option,2005,08,2005-08,595494937,465403190
Future,2005,09,2005-09,378069754,92413994
Option,2005,09,2005-09,563349748,449349313
Future,2005,10,2005-10,342407630,97114584
Option,2005,10,2005-10,592549170,471254961
Future,2005,11,2005-11,396196829,134620900
Option,2005,11,2005-11,545715301,486406784
Future,2005,12,2005-12,329430488,130787627
Option,2005,12,2005-12,437614392,425245804
Future,2006,01,2006-01,364711128,142991011
Option,2006,01,2006-01,598796306,413763473
Future,2006,02,2006-02,373664160,149271738
Option,2006,02,2006-02,566767777,445480354
Future,2006,03,2006-03,500667763,147907226
Option,2006,03,2006-03,552298844,445760805
Future,2006,04,2006-04,401905949,165761276
Option,2006,04,2006-04,510421067,469983176
Future,2006,05,2006-05,506858790,174778529
Option,2006,05,2006-05,637705586,510182341
Future,2006,06,2006-06,527124071,177613458
Option,2006,06,2006-06,566776400,493421289
Future,2006,07,2006-07,389996448,184057407
Option,2006,07,2006-07,532158782,500186483
Future,2006,08,2006-08,452649925,183256335
Option,2006,08,2006-08,543117541,530932990
Future,2006,09,2006-09,465562893,186847034
Option,2006,09,2006-09,509903098,505756845
Future,2006,10,2006-10,419193895,194263808
Option,2006,10,2006-10,535934671,532669847
Future,2006,11,2006-11,467291206,201129141
Option,2006,11,2006-11,525675300,558376823
Future,2006,12,2006-12,419631843,188966387
Option,2006,12,2006-12,499168259,485563995
Future,2007,01,2007-01,465495683,204754965
Option,2007,01,2007-01,641877170,434966453
Future,2007,02,2007-02,484202551,212431793
Option,2007,02,2007-02,573276620,485879418
Future,2007,03,2007-03,657697336,214369690
Option,2007,03,2007-03,715163525,479220360
Future,2007,04,2007-04,457592336,230315072
Option,2007,04,2007-04,620461950,498407289
Future,2007,05,2007-05,559050571,239634385
Option,2007,05,2007-05,689985612,539541251
Future,2007,06,2007-06,723781381,218332876
Option,2007,06,2007-06,758991281,526073593
Future,2007,07,2007-07,599405348,229667736
Option,2007,07,2007-07,787311353,567831730
Future,2007,08,2007-08,761549356,240998197
Option,2007,08,2007-08,848549815,601771045
Future,2007,09,2007-09,651065937,212098202
Option,2007,09,2007-09,603411177,555335664
Future,2007,10,2007-10,621580518,212000647
Option,2007,10,2007-10,740367821,595784086
Future,2007,11,2007-11,670799304,220681288
Option,2007,11,2007-11,755850273,628119325
Future,2007,12,2007-12,565376032,213007153
Option,2007,12,2007-12,571595864,523559374
Future,2008,01,2008-01,721726865,228379473
Option,2008,01,2008-01,848427093,521231345
Future,2008,02,2008-02,653767254,227672197
Option,2008,02,2008-02,622221340,558103068
Future,2008,03,2008-03,778304068,219123199
Option,2008,03,2008-03,708972393,522847496
Future,2008,04,2008-04,653418738,232854738
Option,2008,04,2008-04,726142696,563738448
Future,2008,05,2008-05,656291524,233568411
Option,2008,05,2008-05,693619737,599016934
Future,2008,06,2008-06,757922161,214877931
Option,2008,06,2008-06,778273410,558287260
Future,2008,07,2008-07,681435234,229746940
Option,2008,07,2008-07,943340264,611873740
Future,2008,08,2008-08,570886337,220268314
Option,2008,08,2008-08,725922090,627168481
Future,2008,09,2008-09,912382044,207822151
Option,2008,09,2008-09,996810525,602206286
Future,2008,10,2008-10,754250013,205597871
Option,2008,10,2008-10,943744959,634508120
Future,2008,11,2008-11,551146030,197425526
Option,2008,11,2008-11,710491335,609230528
Future,2008,12,2008-12,628321612,164337951
Option,2008,12,2008-12,658346357,485555489
Future,2009,01,2009-01,530206392,171274776
Option,2009,01,2009-01,665031369,451883887
Future,2009,02,2009-02,565345159,168614577
Option,2009,02,2009-02,694717901,501312371
Future,2009,03,2009-03,711083386,158673245
Option,2009,03,2009-03,867225857,497191142
Future,2009,04,2009-04,647281861,182915025
Option,2009,04,2009-04,817501240,541310011
