Exchange_Name,Reported_Instrument_Name,Report_Month_Name,Report_Year,Report_Year_Month,Volume,Open_Interest
Chicago Board of Trade,2 Year Treasury Note,August,2007,2007-08,10567158,
Chicago Board of Trade,2 Year Treasury Note,February,2008,2008-02,10092770,
Chicago Board of Trade,2 Year Treasury Note,May,2010,2010-05,9494232,
Chicago Board of Trade,2 Year Treasury Note,February,2011,2011-02,9276792,
Chicago Board of Trade,2 Year Treasury Note,August,2011,2011-08,9198690,
Chicago Board of Trade,2 Year Treasury Note,November,2007,2007-11,8849735,
Chicago Board of Trade,2 Year Treasury Note,May,2011,2011-05,8520446,
Chicago Board of Trade,2 Year Treasury Note,May,2008,2008-05,8195565,
Chicago Board of Trade,2 Year Treasury Note,February,2010,2010-02,8143364,
Chicago Board of Trade,2 Year Treasury Note,September,2008,2008-09,8126540,
Chicago Board of Trade,2 Year Treasury Note,August,2008,2008-08,7529605,
Chicago Board of Trade,2 Year Treasury Note,January,2008,2008-01,7526098,
Chicago Board of Trade,2 Year Treasury Note,March,2008,2008-03,7515435,
Chicago Board of Trade,2 Year Treasury Note,June,2008,2008-06,7207187,
Chicago Board of Trade,2 Year Treasury Note,November,2009,2009-11,7205477,
Chicago Board of Trade,2 Year Treasury Note,May,2007,2007-05,7197364,
Chicago Board of Trade,2 Year Treasury Note,March,2011,2011-03,7161941,
Korea Futures Exchange,**KOSPI 200,April,2003,2003-04,7076707,
Chicago Board of Trade,2 Year Treasury Note,November,2010,2010-11,6849856,
Chicago Board of Trade,2 Year Treasury Note,June,2011,2011-06,6814119,
Chicago Board of Trade,2 Year Treasury Note,May,2012,2012-05,6748598,
Chicago Board of Trade,2 Year Treasury Note,November,2012,2012-11,6615134,
Chicago Board of Trade,2 Year Treasury Note,August,2012,2012-08,6593608,
Chicago Board of Trade,2 Year Treasury Note,August,2010,2010-08,6491684,
Korea Futures Exchange,**KOSPI 200,October,2003,2003-10,6395886,
Chicago Board of Trade,2 Year Treasury Note,July,2008,2008-07,6366052,
Chicago Board of Trade,2 Year Treasury Note,March,2010,2010-03,6164317,
Chicago Board of Trade,2 Year Treasury Note,April,2010,2010-04,6164098,
Chicago Board of Trade,2 Year Treasury Note,November,2011,2011-11,6105860,
Chicago Board of Trade,2 Year Treasury Note,February,2012,2012-02,6083142,
Korea Futures Exchange,**KOSPI 200,March,2003,2003-03,6002308,
Chicago Board of Trade,2 Year Treasury Note,August,2009,2009-08,5931897,
Chicago Board of Trade,2 Year Treasury Note,February,2007,2007-02,5666562,
Korea Futures Exchange,**KOSPI 200,May,2003,2003-05,5570346,
Chicago Board of Trade,2 Year Treasury Note,June,2007,2007-06,5495714,
Chicago Board of Trade,2 Year Treasury Note,April,2011,2011-04,5363732,
Chicago Board of Trade,2 Year Treasury Note,October,2008,2008-10,5355340,
Korea Futures Exchange,**KOSPI 200,January,2003,2003-01,5337402,
Chicago Board of Trade,2 Year Treasury Note,March,2007,2007-03,5321434,
Korea Futures Exchange,**KOSPI 200,February,2003,2003-02,5180070,
Chicago Board of Trade,2 Year Treasury Note,July,2011,2011-07,5166462,
Chicago Board of Trade,2 Year Treasury Note,December,2007,2007-12,5138525,
