Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Country,Region,Parent_Name,Volume,Volume_M_Change,Volume_Y_Change,Open_Interest,Open_Interest_M_Change,Open_Interest_Y_Change
1% Fuel Oil Cargoes CIF MED (Platts) (1W),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,-100.00%,16,-20.00%,-98.46%
1% Fuel Oil Rotterdam (Platts) vs. 1% Fuel Oil NWE (Platts) (33),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,60,-16.67%,-50.82%
3 Month Euribor,Option,Interest Rates,Eurex,Germany,Europe,Eurex,0,-100.00%,-100.00%,418,0.00%,-99.57%
3 Month Euribor 4 Year Mid Curve,Option,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,0,,,"2,500",-28.57%,
1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rotterdam (Platts) (FS),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,170,-42.37%,97.67%,"1,077",-4.10%,-0.09%
1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rotterdam (Platts) Balance of the Month (88),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,30,500.00%,,30,500.00%,
3 Month WIBOR,Future,Interest Rates,Warsaw Stock Exchange,Poland,Europe,Warsaw Stock Exchange,0,-100.00%,-100.00%,420,0.00%,-68.01%
2 Year Colombian Government Bond,Future,Interest Rates,Bolsa de Valores de Colombia,Colombia,Latin America,Bolsa de Valores de Colombia,"3,078",39.40%,-58.62%,"1,261",52.48%,-15.93%
3 Year Treasury Bond,Option,Interest Rates,ASX 24,Australia,Asia,ASX,0,-100.00%,-100.00%,"3,000",-86.05%,-91.60%
2 Year Russian Federation Government Bond,Future,Interest Rates,Moscow Exchange,Russia,Europe,Moscow Exchange,"15,617",-17.74%,-32.25%,"26,348",-43.14%,46.74%
2 Year Spintab Bond (SWH2Y),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Sweden,Europe,Nasdaq,"2,055",273.64%,-93.27%,"2,974",-3.88%,-78.76%
2 Year Stadshypotek Bond (STH2Y),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Sweden,Europe,Nasdaq,"11,894",130.10%,-32.34%,"10,194",-15.83%,-32.08%
2 Year Standards,Future,Interest Rates,Eris Exchange,United States,North America,Eris Exchange,837,12.50%,39.73%,"12,362",2.19%,-29.50%
2 Year Swedish Government Bond (SGB2Y),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Sweden,Europe,Nasdaq,"25,278",24.14%,-55.15%,"34,845",-21.97%,-0.99%
2 Year Treasury Note,Future,Interest Rates,Chicago Board of Trade,United States,North America,CME Group,"11,174,157",133.07%,24.57%,"1,493,960",8.62%,37.43%
2 Year Treasury Note,Option,Interest Rates,Chicago Board of Trade,United States,North America,CME Group,"494,827",673.16%,149.69%,"329,179",846.16%,466.09%
Algonquin City-Gates Natural Gas (Platts Gas Daily/Platts IFERC) Index (N7),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,-100.00%,736,-25.20%,-79.87%
3 Month Canadian Bankers Acceptance (BAX),Future,Interest Rates,Montreal Exchange,Canada,North America,TMX Group,"1,661,178",-23.45%,-7.60%,"989,356",7.39%,44.88%
3 Month Canadian Bankers' Acceptance (OBX),Option,Interest Rates,Montreal Exchange,Canada,North America,TMX Group,"25,575",-65.75%,35.89%,"169,156",2.39%,90.86%
3 Month Euribor,Future,Interest Rates,Eurex,Germany,Europe,Eurex,"7,246",18.92%,-41.66%,"39,811",2.69%,-48.29%
3 Month Euribor,Future,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"12,212,377",-15.73%,35.72%,"3,994,499",7.40%,29.62%
3 Month Euribor,Future,Interest Rates,LSE Derivatives Market,United Kingdom,Europe,London Stock Exchange Group,"74,760",-36.86%,,"61,976",10.06%,
Algonquin City-Gates Natural Gas (Platts IFERC) Basis (B4),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,-100.00%,882,-17.42%,-66.87%
All Futures on Individual Equities,Future,Equity,Mexican Derivatives Exchange,Mexico,Latin America,BMV Group,0,,,300,0.00%,-70.00%
3 Month Euribor,Option,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"291,307",-21.19%,18.14%,"3,848,332",3.39%,64.16%
3 Month Euribor 1 Year Mid Curve,Option,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"360,889",22.49%,308.94%,"1,339,593",3.64%,125.73%
3 Month Euribor 2 Year Mid Curve,Option,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"463,950",0.10%,475.31%,"1,309,797",13.65%,402.55%
3 Month Euribor 3 Year Mid Curve,Option,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"343,300",-14.25%,713.51%,"998,054",1.89%,403.84%
"ANR, Oklahoma Natural Gas (Platts IFERC) Basis (NE)",Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,-100.00%,"2,191",-9.01%,-53.62%
3 Month Euroswiss,Future,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"369,322",-21.91%,-9.21%,"221,252",0.57%,-9.30%
3 Month Euroyen,Future,Interest Rates,Tokyo Financial Exchange,Japan,Asia,Tokyo Financial Exchange,"96,098",-35.51%,-52.96%,"156,137",-3.43%,-35.67%
3 Month Hibor,Future,Interest Rates,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,1,-88.89%,,48,0.00%,
3 Month NIBOR (3NIBFR),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Sweden,Europe,Nasdaq,"10,000",,,"95,000",,
3 Month Sterling,Future,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"12,048,146",-11.94%,7.63%,"3,373,579",16.32%,8.72%
3 Month Sterling,Future,Interest Rates,LSE Derivatives Market,United Kingdom,Europe,London Stock Exchange Group,"71,965",-20.50%,,"61,103",1.90%,
AUD/USD,Future,Currencies,Budapest Stock Exchange,Hungary,Europe,CEE Stock Exchange Group,0,,-100.00%,200,0.00%,-42.86%
3 Month Sterling,Option,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"1,209,358",-17.67%,-56.04%,"5,168,905",1.89%,-9.55%
3 Month Sterling 2 Year Mid Curve,Option,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"345,885",4.07%,195.57%,"1,197,585",8.15%,178.16%
3 Month Sterling 3 Year Mid Curve,Option,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"1,600",,-76.30%,"49,500",-0.30%,119.05%
3 Month Sterling Mid Curve,Option,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"606,546",68.51%,102.77%,"1,385,058",3.57%,27.96%
3 Month STIBOR (3STIBF),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Sweden,Europe,Nasdaq,"7,140",,,"31,140",,
Beef,Future,Agriculture,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,0,-100.00%,-100.00%,4,0.00%,-91.49%
3 Year Standards,Future,Interest Rates,Eris Exchange,United States,North America,Eris Exchange,"2,099",170.14%,,"3,278",9.93%,306.20%
3 Year Treasury Bond,Future,Interest Rates,ASX 24,Australia,Asia,ASX,"3,253,620",-30.04%,21.11%,"1,125,441",14.49%,27.33%
3 Year Treasury Bond,Future,Interest Rates,Korea Exchange,South Korea,Asia,Korea Exchange,"1,687,514",15.80%,24.29%,"209,319",2.87%,-32.74%
Bel 20 (€10),Option,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,0,,-100.00%,6,0.00%,-45.45%
3 Year Treasury Bond Intra-Day,Option,Interest Rates,ASX 24,Australia,Asia,ASX,"45,933",-8.57%,14.95%,0,,
3 Year Treasury Bond Overnight,Option,Interest Rates,ASX 24,Australia,Asia,ASX,"29,450",1.73%,5.81%,0,,
3.5% Fuel Oil Barges FOB Rotterdam (Platts) Crack Spread (1000 MT) (BOB),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,862,-22.55%,-49.11%,"4,694",-6.79%,0.54%
3.5% Fuel Oil Barges FOB Rotterdam (Platts) Crack Spread (FO),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"1,335",-12.57%,-72.15%,"17,729",-5.43%,-16.15%
