Exchange_Name,Country,Region,Parent_Name,Volume,Volume_M_Change,Volume_Y_Change,Open_Interest,Open_Interest_M_Change,Open_Interest_Y_Change
ASX,Australia,Asia,ASX,9585920.00,16.83%,13.06%,10450997.00,8.37%,1.84%
ASX 24,Australia,Asia,ASX,8942554.00,-26.57%,15.17%,3994783.00,5.28%,13.66%
Athens Derivatives Exchange,Greece,Other,Athens Derivatives Exchange,752437.00,-44.23%,38.57%,531917.00,3.39%,107.27%
B3,Brazil,Latin America,B3,166578480.00,30.00%,,71530814.00,15.93%,
Bats Exchange,United States,North America,BATS Exchange,34474451.00,16.17%,10.32%,,,
Bolsa de Valores de Colombia,Colombia,Latin America,Bolsa de Valores de Colombia,106094.00,79.54%,5.67%,54996.00,13.40%,-15.82%
Borsa Istanbul,Turkey,Other,Borsa Istanbul,10667643.00,5.34%,29.53%,2355139.00,-9.55%,27.37%
Borsa Italiana (IDEM),Italy,Europe,London Stock Exchange Group,1930147.00,-11.35%,-26.26%,5276029.00,4.03%,-22.15%
Boston Options Exchange,United States,North America,TMX Group,7937797.00,20.18%,-11.56%,,,
BSE,India,Asia,BSE,47277567.00,-15.32%,32.91%,1666470.00,-2.58%,20.32%
Budapest Stock Exchange,Hungary,Europe,CEE Stock Exchange Group,476001.00,-36.90%,6.95%,756022.00,-3.01%,22.98%
C2 Exchange,United States,North America,CBOE Holdings,13173463.00,24.58%,90.76%,,,
CBOE Futures Exchange,United States,North America,CBOE Holdings,9167320.00,53.68%,92.32%,605410.00,-3.07%,18.52%
Chicago Board of Trade,United States,North America,CME Group,142844530.00,42.81%,19.07%,23333417.00,4.70%,26.33%
Chicago Board Options Exchange,United States,North America,CBOE Holdings,109887144.00,29.93%,32.77%,,,
Chicago Mercantile Exchange,United States,North America,CME Group,147780857.00,25.78%,7.68%,68194920.00,8.99%,19.46%
China Financial Futures Exchange,China,Asia,China Financial Futures Exchange,2043560.00,-1.03%,31.85%,207300.00,-5.45%,21.83%
Commodity Exchange (COMEX),United States,North America,CME Group,13706743.00,29.69%,51.77%,2314064.00,8.84%,5.63%
Dalian Commodity Exchange,China,Asia,Dalian Commodity Exchange,109794909.00,10.35%,5.63%,5275775.00,-15.59%,-16.35%
Dubai Gold & Commodities Exchange,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,1354984.00,2.24%,-20.76%,177757.00,1.28%,-49.81%
Dubai Mercantile Exchange,United Arab Emirates,Asia,Dubai Mercantile Exchange,125284.00,-1.60%,-34.29%,51798.00,-7.24%,95.21%
EDGX Options Exchange,United States,North America,BATS Exchange,4315619.00,15.96%,46.10%,,,
Eris Exchange,United States,North America,Eris Exchange,33754.00,31.59%,-42.91%,195338.00,7.28%,17.81%
Eurex,Germany,Europe,Eurex,110708356.00,9.74%,18.36%,120731605.00,5.99%,8.27%
Euronext Derivatives Market,United Kingdom,Europe,Euronext,11586238.00,10.88%,36.24%,17095836.00,5.89%,6.81%
Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,22094028.00,14.78%,37.84%,13136494.00,4.97%,32.20%
ICE Futures Canada,Canada,North America,Intercontinental Exchange,319194.00,-7.67%,-21.23%,192102.00,18.96%,-19.95%
ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,88754671.00,8.56%,28.94%,50003266.00,-1.01%,18.30%
ICE Futures Singapore,Singapore,Asia,ICE Futures Singapore,365689.00,35.29%,265.19%,7830.00,25.44%,29.83%
ICE Futures U.S.,United States,North America,Intercontinental Exchange,25308026.00,12.15%,-5.85%,25731996.00,-1.59%,-7.31%
India International Exchange,India,Asia,BSE,57563.00,-20.02%,,468.00,72.06%,
Indonesia Commodity & Derivatives Exchange,Indonesia,Asia,Indonesia Commodity & Derivatives Exchange,21437.00,0.73%,-64.11%,250.00,0.00%,-1.57%
International Securities Exchange,United States,North America,Eurex,28177663.00,15.17%,-16.31%,,,
International Securities Exchange Gemini,United States,North America,Eurex,17917068.00,21.78%,249.44%,,,
International Securities Exchange Mercury,United States,North America,Eurex,499488.00,16.41%,-14.74%,,,
Japan Exchange,Japan,Asia,Japan Exchange,23125486.00,20.09%,9.83%,4628636.00,9.37%,11.36%
JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,17472807.00,128.28%,45.53%,38723036.00,-4.12%,-20.94%
Korea Exchange,South Korea,Asia,Korea Exchange,104710084.00,16.64%,85.98%,7736597.00,6.23%,67.81%
London Metal Exchange,United Kingdom,Europe,Hong Kong Exchanges and Clearing,14219572.00,15.41%,16.78%,3062258.00,8.71%,8.24%
LSE Derivatives Market,United Kingdom,Europe,London Stock Exchange Group,559659.00,-19.64%,160.93%,1767978.00,8.48%,78.27%
Malaysia Derivatives Exchange,Malaysia,Asia,Bursa Malaysia,1251408.00,23.32%,-3.05%,254075.00,2.71%,5.19%
MEFF,Spain,Europe,MEFF,2164683.00,-23.31%,20.57%,10971295.00,6.14%,-3.01%
Mercado a Termino de Buenos Aires,Argentina,Latin America,Mercado a Termino de Buenos Aires,14103.00,-38.85%,-20.20%,28721.00,4.58%,-7.55%
Metropolitan Stock Exchange of India,India,Asia,Metropolitan Stock Exchange of India,1355743.00,-30.62%,-66.37%,307427.00,-4.36%,3.17%
Mexican Derivatives Exchange,Mexico,Latin America,BMV Group,470762.00,23.97%,-39.74%,1358854.00,0.59%,-37.75%
MIAX Options,United States,North America,Miami International Holdings,17014463.00,15.08%,-24.69%,,,
MIAX Pearl,United States,North America,Miami International Holdings,5590113.00,75.42%,,,,
Minneapolis Grain Exchange,United States,North America,Minneapolis Grain Exchange,311495.00,3.28%,19.62%,96410.00,-15.23%,49.95%
Montreal Exchange,Canada,North America,TMX Group,7735579.00,17.93%,12.21%,6702679.00,11.76%,10.71%
Moscow Exchange,Russia,Europe,Moscow Exchange,135118209.00,-3.92%,-15.48%,15100476.00,0.86%,-17.74%
Multi Commodity Exchange of India,India,Asia,Multi Commodity Exchange of India,18982586.00,5.10%,-6.69%,291098.00,-7.04%,-20.23%
Nasdaq Boston,United States,North America,Nasdaq,2204850.00,17.80%,-6.00%,,,
Nasdaq Commodities,Sweden,Europe,Nasdaq,218207.00,11.67%,4.14%,650772.00,-0.96%,-9.43%
Nasdaq Exchanges Nordic Markets,Sweden,Europe,Nasdaq,6598084.00,11.57%,10.50%,7544063.00,11.89%,9.08%
Nasdaq NFX,United States,North America,Nasdaq,4523330.00,14.36%,55.24%,3265558.00,11.57%,243.96%
Nasdaq Options Market,United States,North America,Nasdaq,30044067.00,14.46%,22.30%,,,
Nasdaq PHLX,United States,North America,Nasdaq,55349905.00,17.99%,16.40%,,,
National Commodity & Derivatives Exchange,India,Asia,National Commodity & Derivatives Exchange,1309097.00,22.88%,-33.47%,100138.00,5.03%,-31.62%
National Stock Exchange of India,India,Asia,National Stock Exchange of India,227846915.00,17.42%,39.50%,10367786.00,20.07%,14.91%
New York Mercantile Exchange,United States,North America,CME Group,64760875.00,23.06%,24.84%,25214813.00,-1.93%,-7.92%
North American Derivative Exchange,United States,North America,North American Derivative Exchange,934209.00,26.17%,16.80%,,,
NYSE Amex,United States,North America,Intercontinental Exchange,25809240.00,21.05%,17.85%,,,
NYSE Arca,United States,North America,Intercontinental Exchange,28593084.00,17.72%,-9.39%,,,
OCC,United States,North America,OCC,,,,310530011.00,8.80%,6.31%
OneChicago,United States,North America,OneChicago,1232957.00,-13.52%,20.26%,601163.00,-10.74%,0.88%
Osaka Dojima Commodity Exchange,Japan,Asia,Japan Exchange,25703.00,-35.77%,-54.85%,10270.00,-15.72%,-37.28%
Oslo Stock Exchange,Norway,Europe,Oslo Stock Exchange,709372.00,15.55%,5.86%,1200682.00,3.91%,-15.11%
Pakistan Mercantile Exchange,Pakistan,Asia,Pakistan Mercantile Exchange,348993.00,27.39%,26.64%,11901.00,7.08%,15.06%
Rosario Futures Exchange,Argentina,Latin America,Rosario Futures Exchange,15982167.00,31.36%,77.97%,2739819.00,14.55%,24.22%
SGX,Singapore,Asia,Singapore Exchange,1723351.00,27.56%,61.62%,1619491.00,11.89%,15.32%
Shanghai Futures Exchange,China,Asia,Shanghai Futures Exchange,154186521.00,9.81%,18.34%,5352242.00,1.87%,17.09%
Singapore Exchange,Singapore,Asia,Singapore Exchange,14165879.00,10.21%,11.09%,3322953.00,9.98%,17.61%
Taiwan Futures Exchange,Taiwan,Asia,Taiwan Futures Exchange,28343425.00,21.86%,34.75%,1613281.00,6.57%,47.64%
Tel-Aviv Stock Exchange,Israel,Other,Tel-Aviv Stock Exchange,4927004.00,24.71%,50.81%,858611.00,6.39%,13.58%
Thailand Futures Exchange,Thailand,Asia,Thailand Futures Exchange,5885336.00,47.99%,-17.59%,2188045.00,4.93%,-3.40%
