Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"1% Fuel Oil Cargoes CIF MED (Platts) (1W)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,12
"1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rotterdam (Platts) (FS)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,110,1045
"1% Fuel Oil Rotterdam (Platts) vs. 1% Fuel Oil NWE (Platts) (33)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,48
"10 Baht Gold",Future,Metals,"Thailand Futures Exchange","Thailand Futures Exchange",TFEX,Thailand,Asia,2017,09,2017-09,444486,42002
"10 Year Canadian Government Bond (CGB)",Future,"Interest Rates","Montreal Exchange","TMX Group",MX,Canada,"North America",2017,09,2017-09,1286309,557665
"10 Year Canadian Government Bond (OGB)",Option,"Interest Rates","Montreal Exchange","TMX Group",MX,Canada,"North America",2017,09,2017-09,0,2591
"10 Year Colombian Government Bond",Future,"Interest Rates","Bolsa de Valores de Colombia","Bolsa de Valores de Colombia",BVC,Colombia,"Latin America",2017,09,2017-09,8854,2277
"10 Year Japan Government Bond",Future,"Interest Rates","Japan Exchange","Japan Exchange",JPX,Japan,Asia,2017,09,2017-09,1013477,92611
"10 Year Japan Government Bond",Option,"Interest Rates","Japan Exchange","Japan Exchange",JPX,Japan,Asia,2017,09,2017-09,89339,13457
"10 year Russian Federation Government Bond",Future,"Interest Rates","Moscow Exchange","Moscow Exchange",MOEX,Russia,Europe,2017,09,2017-09,12269,4766
"10 Year Standards",Future,"Interest Rates","Eris Exchange","Eris Exchange",ERIS,"United States","North America",2017,09,2017-09,17326,75883
"10 Year Swedish Government Bond (SGB10)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",Nasdaq,OMX,Sweden,Europe,2017,09,2017-09,120331,46563
