Region,Year,Month,Report_Year_Month,Volume,Open_Interest
Asia,2000,01,2000-01,25875704,8404205
Europe,2000,01,2000-01,89485216,59896030
"Latin America",2000,01,2000-01,4779667,7385771
"North America",2000,01,2000-01,114094935,63804485
Other,2000,01,2000-01,1558458,1597548
Asia,2000,02,2000-02,29841789,9194133
Europe,2000,02,2000-02,89818709,67214354
"Latin America",2000,02,2000-02,6062712,7841730
"North America",2000,02,2000-02,112179891,67710571
Other,2000,02,2000-02,1768279,1933267
Asia,2000,03,2000-03,31912410,7588410
Europe,2000,03,2000-03,98949470,59098950
"Latin America",2000,03,2000-03,5833705,8057628
"North America",2000,03,2000-03,128039417,75324216
Other,2000,03,2000-03,1611838,719764
Asia,2000,04,2000-04,28293603,7870854
Europe,2000,04,2000-04,76728298,62887707
"Latin America",2000,04,2000-04,7074898,7655937
"North America",2000,04,2000-04,110172994,71390597
Other,2000,04,2000-04,1043219,850147
Asia,2000,05,2000-05,32720041,8413139
Europe,2000,05,2000-05,97499343,75659467
"Latin America",2000,05,2000-05,7920500,8238542
"North America",2000,05,2000-05,112811427,75165980
Other,2000,05,2000-05,1759734,1118650
Asia,2000,06,2000-06,36831686,7623620
Europe,2000,06,2000-06,92113501,64230564
"Latin America",2000,06,2000-06,7046223,8451202
"North America",2000,06,2000-06,108088981,76647581
Other,2000,06,2000-06,2339340,1319330
Asia,2000,07,2000-07,31733923,8622888
Europe,2000,07,2000-07,70617089,68778809
"Latin America",2000,07,2000-07,7313986,9053372
"North America",2000,07,2000-07,92863230,75497306
Other,2000,07,2000-07,2054437,1769638
Asia,2000,08,2000-08,44080110,8804591
Europe,2000,08,2000-08,75591925,75439532
"Latin America",2000,08,2000-08,8257664,9178750
"North America",2000,08,2000-08,100360527,80914257
Other,2000,08,2000-08,1469759,2198834
Asia,2000,09,2000-09,41740328,8148518
Europe,2000,09,2000-09,92160883,66761053
"Latin America",2000,09,2000-09,6580372,9135934
"North America",2000,09,2000-09,104623129,84760906
Other,2000,09,2000-09,2175965,2268553
Asia,2000,10,2000-10,44962535,8927605
Europe,2000,10,2000-10,87311143,73758577
"Latin America",2000,10,2000-10,8607941,9275700
"North America",2000,10,2000-10,123994873,87404040
Other,2000,10,2000-10,2665316,2923636
Asia,2000,11,2000-11,48453115,9532193
Europe,2000,11,2000-11,84684998,83234835
"Latin America",2000,11,2000-11,7854391,9222454
"North America",2000,11,2000-11,111887644,89220655
Other,2000,11,2000-11,2442128,3285995
Asia,2000,12,2000-12,51651333,7229743
Europe,2000,12,2000-12,79014435,68349468
"Latin America",2000,12,2000-12,5677454,8784118
"North America",2000,12,2000-12,110018816,88719386
Other,2000,12,2000-12,2460442,2619948
Asia,2001,01,2001-01,49821836,8463710
Europe,2001,01,2001-01,112304022,80480026
"Latin America",2001,01,2001-01,6562964,8375079
"North America",2001,01,2001-01,142034772,80877517
Other,2001,01,2001-01,6589972,3170591
Asia,2001,02,2001-02,53348859,9450775
Europe,2001,02,2001-02,101096060,92537222
"Latin America",2001,02,2001-02,7772642,8142211
"North America",2001,02,2001-02,120032614,85614302
Other,2001,02,2001-02,4389138,4326685
Asia,2001,03,2001-03,57629095,8885329
Europe,2001,03,2001-03,127014422,84646571
"Latin America",2001,03,2001-03,10138290,7169792
"North America",2001,03,2001-03,143001881,94671362
Other,2001,03,2001-03,4978683,2183672
Asia,2001,04,2001-04,65467099,9019680
Europe,2001,04,2001-04,106747470,93479884
"Latin America",2001,04,2001-04,8330270,6240776
"North America",2001,04,2001-04,139966641,101703842
Other,2001,04,2001-04,4269531,2353461
Asia,2001,05,2001-05,67881319,9399802
Europe,2001,05,2001-05,110708950,107098986
"Latin America",2001,05,2001-05,8138443,5792355
"North America",2001,05,2001-05,139516230,104739142
Other,2001,05,2001-05,5757285,2500446
Asia,2001,06,2001-06,72979744,8829629
Europe,2001,06,2001-06,115907566,94761730
"Latin America",2001,06,2001-06,7280551,5145782
"North America",2001,06,2001-06,126707024,106009504
Other,2001,06,2001-06,5716405,2326643
Asia,2001,07,2001-07,82942125,9432288
Europe,2001,07,2001-07,102376381,106954467
"Latin America",2001,07,2001-07,7377455,4727236
"North America",2001,07,2001-07,120004821,104252323
Other,2001,07,2001-07,5619068,3054509
Asia,2001,08,2001-08,113527916,11186290
Europe,2001,08,2001-08,106273339,118996714
"Latin America",2001,08,2001-08,9240812,5130904
"North America",2001,08,2001-08,128012113,110342492
Other,2001,08,2001-08,5176989,3697776
Asia,2001,09,2001-09,126114117,9917023
Europe,2001,09,2001-09,143792509,110408593
"Latin America",2001,09,2001-09,7429486,5395243
"North America",2001,09,2001-09,122220836,105275909
Other,2001,09,2001-09,6389612,3377565
Asia,2001,10,2001-10,98025241,10481157
Europe,2001,10,2001-10,138773879,129913278
"Latin America",2001,10,2001-10,9689616,5895646
"North America",2001,10,2001-10,143641443,118434105
Other,2001,10,2001-10,6126851,3758135
Asia,2001,11,2001-11,169826917,12807442
Europe,2001,11,2001-11,151628563,146869420
"Latin America",2001,11,2001-11,9204277,6312160
"North America",2001,11,2001-11,151083574,125622245
Other,2001,11,2001-11,6460228,4188078
Asia,2001,12,2001-12,159572046,9007455
Europe,2001,12,2001-12,95124110,110161790
"Latin America",2001,12,2001-12,6826719,6258315
"North America",2001,12,2001-12,118075069,115968738
Other,2001,12,2001-12,7734888,3553531
Asia,2002,01,2002-01,152455269,11099288
Europe,2002,01,2002-01,137864026,130453447
"Latin America",2002,01,2002-01,20995627,16297693
"North America",2002,01,2002-01,153384705,104604145
Other,2002,01,2002-01,7725061,3046852
Asia,2002,02,2002-02,126172367,14094099
Europe,2002,02,2002-02,123455042,152882524
"Latin America",2002,02,2002-02,19157869,10098772
"North America",2002,02,2002-02,132013789,112337882
